Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date,imdb_id,extra_info,tmdb_id,summary,adult,genre_ids,popularity,vote_average,vote_count
Us,Watched,"October 6, 2024",8.5,8.0,"Horror, Thriller",Peacock,Neither,Collin,https://www.imdb.com/title/tt6857112/,"March 22, 2019",tt6857112,"{'tmdb_id': 458723, 'summary': 'Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.', 'adult': False, 'genre_ids': [27, 53], 'popularity': 35.044, 'vote_average': 7.0, 'vote_count': 7257}",458723,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",False,"[27, 53]",35.044,7.0,7257
Annabelle,Watched,"October 6, 2024",3.5,4.0,Horror,Netflix,Valerie,Valerie,https://www.imdb.com/title/tt3322940/,"October 1, 2014",tt3322940,"{'tmdb_id': 250546, 'summary': 'A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.', 'adult': False, 'genre_ids': [27], 'popularity': 64.794, 'vote_average': 5.77, 'vote_count': 6044}",250546,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,False,[27],64.794,5.77,6044
Up in the Air,Watched,"September 30, 2024",5.0,5.5,"Drama, Romance",Max,Collin,Collin,https://www.imdb.com/title/tt1193138/,"December 4, 2009",tt1193138,"{'tmdb_id': 22947, 'summary': 'Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he’s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.', 'adult': False, 'genre_ids': [18, 10749], 'popularity': 19.648, 'vote_average': 6.9, 'vote_count': 3575}",22947,"Corporate downsizing expert Ryan Bingham spends his life in planes, airports, and hotels, but just as he’s about to reach a milestone of ten million frequent flyer miles, he meets a woman who causes him to rethink his transient life.",False,"[18, 10749]",19.648,6.9,3575
The Conjuring,Watched,"September 29, 2024",6.0,7.0,Horror,Netflix,Valerie,Valerie,https://www.imdb.com/title/tt1457767/,"July 18, 2013",tt1457767,"{'tmdb_id': 138843, 'summary': 'Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.', 'adult': False, 'genre_ids': [27, 53], 'popularity': 143.517, 'vote_average': 7.5, 'vote_count': 11437}",138843,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",False,"[27, 53]",143.517,7.5,11437
A Quiet Place,Watched,"September 26, 2024",7.5,8.5,"Horror, Thriller",Paramount+,Collin,Collin,https://imdb.com/title/tt6644200/,"April 2, 2018",tt6644200,"{'tmdb_id': 447332, 'summary': 'A family is forced to live in silence while hiding from creatures that hunt by sound.', 'adult': False, 'genre_ids': [27, 18, 878], 'popularity': 96.357, 'vote_average': 7.4, 'vote_count': 14058}",447332,A family is forced to live in silence while hiding from creatures that hunt by sound.,False,"[27, 18, 878]",96.357,7.4,14058
Bird Box,Watched,"September 25, 2024",9.0,8.5,"Horror, Thriller",Netflix,Valerie,Valerie,https://www.imdb.com/title/tt2737304/,"December 13, 2018",tt2737304,"{'tmdb_id': 405774, 'summary': 'Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.', 'adult': False, 'genre_ids': [27, 53, 18], 'popularity': 50.878, 'vote_average': 6.838, 'vote_count': 9835}",405774,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",False,"[27, 53, 18]",50.878,6.838,9835
Sonic the Hedgehog 2,Watched,"September 22, 2024",7.5,7.0,"Adventure, Family",Paramount+,Neither,"Collin, Zach",https://www.imdb.com/title/tt12412888/,"March 31, 2022",tt12412888,"{'tmdb_id': 675353, 'summary': 'After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.', 'adult': False, 'genre_ids': [28, 12, 10751, 35], 'popularity': 177.773, 'vote_average': 7.5, 'vote_count': 4932}",675353,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",False,"[28, 12, 10751, 35]",177.773,7.5,4932
Uglies,Watched,"September 21, 2024",4.0,4.5,Adventure,Netflix,Neither,"Collin, Valerie",https://www.imdb.com/title/tt13186604/,"September 13, 2024",tt13186604,"{'tmdb_id': 748167, 'summary': 'In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.', 'adult': False, 'genre_ids': [878, 12, 28], 'popularity': 92.208, 'vote_average': 5.922, 'vote_count': 547}",748167,"In a futuristic dystopia with enforced beauty standards, a teen awaiting mandatory cosmetic surgery embarks on a journey to find her missing friend.",False,"[878, 12, 28]",92.208,5.922,547
Hubie Halloween,Watched,"September 18, 2024",6.0,5.0,"Adventure, Comedy, Horror",Netflix,Neither,Collin,https://www.imdb.com/title/tt10682266/,"October 7, 2020",tt10682266,"{'tmdb_id': 617505, 'summary': 'Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.', 'adult': False, 'genre_ids': [35, 9648, 27], 'popularity': 28.863, 'vote_average': 5.9, 'vote_count': 1597}",617505,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",False,"[35, 9648, 27]",28.863,5.9,1597
Juno,Watched,"September 16, 2024",5.5,5.5,"Comedy, Drama",Hulu,Neither,"Valerie, Yasmin",https://www.imdb.com/title/tt0467406/,"December 25, 2007",tt0467406,"{'tmdb_id': 7326, 'summary': 'Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.', 'adult': False, 'genre_ids': [35, 18, 10749], 'popularity': 21.431, 'vote_average': 7.054, 'vote_count': 7095}",7326,"Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.",False,"[35, 18, 10749]",21.431,7.054,7095
