Name,Status,Completed,Collin Rating,Valerie Rating,Genre,Source,Previously Seen By,Chosen By,imdb,Release Date
Us,Watched,"October 6, 2024",8.5,8,"Horror, Thriller",Peacock,Neither,Collin,https://www.imdb.com/title/tt6857112/,"March 22, 2019"
Annabelle,Watched,"October 6, 2024",3.5,4,Horror,Netflix,Valerie,Valerie,https://www.imdb.com/title/tt3322940/,"October 1, 2014"
Up in the Air,Watched,"September 30, 2024",5,5.5,"Drama, Romance",Max,Collin,Collin,https://www.imdb.com/title/tt1193138/,"December 4, 2009"
The Conjuring,Watched,"September 29, 2024",6,7,Horror,Netflix,Valerie,Valerie,https://www.imdb.com/title/tt1457767/,"July 18, 2013"
A Quiet Place,Watched,"September 26, 2024",7.5,8.5,"Horror, Thriller",Paramount+,Collin,Collin,https://imdb.com/title/tt6644200/,"April 2, 2018"
Bird Box,Watched,"September 25, 2024",9,8.5,"Horror, Thriller",Netflix,Valerie,Valerie,https://www.imdb.com/title/tt2737304/,"December 13, 2018"
Sonic the Hedgehog 2,Watched,"September 22, 2024",7.5,7,"Adventure, Family",Paramount+,Neither,"Collin, Zach",https://www.imdb.com/title/tt12412888/,"March 31, 2022"
Uglies,Watched,"September 21, 2024",4,4.5,Adventure,Netflix,Neither,"Collin, Valerie",https://www.imdb.com/title/tt13186604/,"September 13, 2024"
Hubie Halloween,Watched,"September 18, 2024",6,5,"Adventure, Comedy, Horror",Netflix,Neither,Collin,https://www.imdb.com/title/tt10682266/,"October 7, 2020"
Juno,Watched,"September 16, 2024",5.5,5.5,"Comedy, Drama",Hulu,Neither,"Valerie, Yasmin",https://www.imdb.com/title/tt0467406/,"December 25, 2007"
Sonic the Hedgehog,Watched,"September 15, 2024",7,6.5,"Adventure, Comedy, Family",Paramount+,Neither,"Collin, Zach",https://www.imdb.com/title/tt3794354/,"February 12, 2020"
Tangled,Watched,"September 9, 2024",8,8.5,"Adventure, Family",Disney +,"Collin, Valerie",Collin,https://www.imdb.com/title/tt0398286/,"November 24, 2010"
Lisa Frankenstein,Watched,"September 8, 2024",7.5,8,"Comedy, Horror, Romance",Peacock,Neither,Valerie,https://www.imdb.com/title/tt21188080/,"February 8, 2024"
Beetlejuice Beetlejuice,Watched,"September 7, 2024",8,8,Comedy,Theater,Neither,"Collin, Valerie, Zach",https://www.imdb.com/title/tt2049403/,"September 6, 2024"
